"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Job Management","Create Job","FD should be able to create the job","1","0","0","0","0"
"User Management","Uer Details","User Details should be shown correctly","0","0","1","0","0"
"","","","2","0","0","0","0"
"Job Management","Job Details","Job Details should be shown correctly","0","0","1","0","0"
"User Management","Authentication","Valid User should be able to login into the System","0","0","1","0","0"
"Job Management","Master API","","0","0","1","0","0"
"Job Management","Job Count","","0","0","1","0","0"
"Job Management","Search Job","User should be able to search","0","0","1","0","0"
"Job Management","Job Count","Job Count should be shown correctly","0","0","1","0","0"
"Job Management","Master API","Master API should bring OEM details, Problem type, Warranty Status","0","0","1","0","0"
